OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species	Element
contig_790	Bacteria	Firmicutes	Clostridia	Clostridiales	not classified	not classified	Clostridiales sp. cat2840	Clostridiales sp. cat2840
contig_789	Viruses	Viruses_undefined_phylum	Viruses_undefined_phylum_undefined_class	Viruses_undefined_phylum_undefined_class_undefined_order	Viruses_undefined_phylum_undefined_class_undefined_order_undefined_family	Viruses_undefined_phylum_undefined_class_undefined_order_undefined_family_undefined_genus	Phage DP-2017a	Phage DP-2017a sp. cat2838
contig_1505	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila	Akkermansia muciniphila sp. cat1465
contig_1787	Bacteria	Firmicutes	Clostridia	Clostridiales	not classified	not classified	Clostridiales sp. cat1712	Clostridiales sp. cat1712
contig_1255	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	Acinetobacter baumannii sp. cat1238
contig_2217	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	not classified	not classified	Bacteroidales sp. cat2089	Bacteroidales sp. cat2089
contig_1041	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1005	dark_matter sp. cat1005
contig_1159	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	unclassified Bacteroides sp. cat1149	unclassified Bacteroides sp. cat1149
contig_1133	Eukaryota	Preaxostyla	Preaxostyla_undefined_class	Oxymonadida	Streblomastigidae	Streblomastix	Streblomastix strix	Streblomastix strix sp. cat1128
contig_1292	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified sp. cat1274	not classified sp. cat1274
