OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species	Element
contig_1979	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1194	dark_matter sp. cat1194
contig_2383	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Siphoviridae_undefined_genus	Siphoviridae_undefined_genus_undefined_species	Siphoviridae sp. ctVqd524
contig_1972	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified sp. cat1882	not classified sp. cat1882
contig_1861	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_undefined_family	Lawsonibacter	Lawsonibacter asaccharolyticus	Lawsonibacter asaccharolyticus sp. cat1783
contig_651	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriales_undefined_family	Flavobacteriales_undefined_family_undefined_genus	Flavobacteriales bacterium	Flavobacteriales bacterium sp. cat2712
contig_1646	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium sp. CM21	Fusobacterium sp. CM21 sp. cat1588
contig_1277	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1046	dark_matter sp. cat1046
contig_1456	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified sp. cat1421	not classified sp. cat1421
contig_1564	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1103	dark_matter sp. cat1103
contig_168	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctCtF751
contig_2233	Bacteria	Firmicutes	not classified	not classified	not classified	not classified	Firmicutes sp. cat2103	Firmicutes sp. cat2103
contig_2455	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctPK5603
contig_1463	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	not classified	Rhodospirillaceae sp. cat1427	Rhodospirillaceae sp. cat1427
contig_318	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctzvl707
contig_2082	Bacteria	Bacteria_undefined_phylum	Bacteria_undefined_phylum_undefined_class	Bacteria_undefined_phylum_undefined_class_undefined_order	Bacteria_undefined_phylum_undefined_class_undefined_order_undefined_family	Bacteria_undefined_phylum_undefined_class_undefined_order_undefined_family_undefined_genus	uncultured bacterium	uncultured bacterium sp. cat1980
contig_1046	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1007	dark_matter sp. cat1007
contig_1546	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	not classified	Ruminococcaceae sp. cat1504	Ruminococcaceae sp. cat1504
contig_1145	Bacteria	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae	Hungateiclostridium	Hungateiclostridium sp. cat1136	Hungateiclostridium sp. cat1136
contig_1090	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Candidatus Nitrosoglobus	Candidatus Nitrosoglobus terrae	Candidatus Nitrosoglobus terrae sp. cat1086
contig_1471	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1088	dark_matter sp. cat1088
contig_1107	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Podoviridae_undefined_genus	Podoviridae sp. ctfa10	Podoviridae sp. ctfa10 sp. cat1103
contig_304	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriales_undefined_family	Flavobacteriales_undefined_family_undefined_genus	Flavobacteriales bacterium	Flavobacteriales bacterium sp. cat2398
contig_195	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctRbX050
contig_611	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Siphoviridae_undefined_genus	Siphoviridae_undefined_genus_undefined_species	Siphoviridae sp. cthBb002
contig_782	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	not classified	not classified	Bacteroidales sp. cat2832	Bacteroidales sp. cat2832
contig_2482	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii	Faecalibacterium prausnitzii A2-165 sp. cat2340
contig_1162	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ct6kH182
contig_2325	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1278	dark_matter sp. cat1278
contig_1374	Bacteria	Bacteria_undefined_phylum	Bacteria_undefined_phylum_undefined_class	Bacteria_undefined_phylum_undefined_class_undefined_order	Bacteria_undefined_phylum_undefined_class_undefined_order_undefined_family	Bacteria_undefined_phylum_undefined_class_undefined_order_undefined_family_undefined_genus	Parcubacteria group bacterium ADurb.Bin216	Parcubacteria group bacterium ADurb.Bin216 sp. cat1352
contig_2206	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	not classified	crAss-like viruses sp. cat2077	crAss-like viruses sp. cat2077
contig_246	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. cat2317	Prevotella sp. cat2317
contig_2235	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	not classified	not classified	Burkholderiales sp. cat2105	Burkholderiales sp. cat2105
contig_687	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified sp. cat2743	not classified sp. cat2743
contig_1721	Viruses	not classified	not classified	not classified	not classified	not classified	not classified sp. cat1652	not classified sp. cat1652
contig_1617	Bacteria	Firmicutes	Clostridia	not classified	not classified	not classified	Clostridia sp. cat1564	Clostridia sp. cat1564
contig_1682	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1137	dark_matter sp. cat1137
contig_127	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctfvE299
contig_143	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Skunavirus	Skunavirus_undefined_species	Siphoviridae sp. ctuzN476
contig_1265	Bacteria	Firmicutes	not classified	not classified	not classified	not classified	Firmicutes sp. cat1249	Firmicutes sp. cat1249
contig_774	Bacteria	Firmicutes	not classified	not classified	not classified	not classified	Firmicutes sp. cat2824	Firmicutes sp. cat2824
contig_1174	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified sp. cat1166	not classified sp. cat1166
contig_18	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	not classified	crAss-like viruses sp. cat1725	crAss-like viruses sp. cat1725
contig_53	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Podoviridae_undefined_genus	CrAssphage ZA	CrAssphage ZA sp. cat2604
contig_513	Bacteria	Firmicutes	not classified	not classified	not classified	not classified	Firmicutes sp. cat2593	Firmicutes sp. cat2593
contig_679	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter	Odoribacter splanchnicus	Odoribacter splanchnicus sp. cat2734
contig_161	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified sp. cat1559	not classified sp. cat1559
contig_1286	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1048	dark_matter sp. cat1048
contig_80	not classified	not classified	not classified	not classified	not classified	not classified	not classified sp. cat2850	not classified sp. cat2850
contig_1388	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Poophage MBI-2016a	Poophage MBI-2016a sp. cat1363
contig_881	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1367	dark_matter sp. cat1367
contig_66	not classified	not classified	not classified	not classified	not classified	not classified	not classified sp. cat2719	not classified sp. cat2719
contig_1097	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1016	dark_matter sp. cat1016
contig_12	not classified	not classified	not classified	not classified	not classified	not classified	not classified sp. cat1187	not classified sp. cat1187
contig_2304	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Tortoise microvirus 13	Tortoise microvirus 13 sp. cat2167
contig_1305	Bacteria	Firmicutes	not classified	not classified	not classified	not classified	Firmicutes sp. cat1287	Firmicutes sp. cat1287
contig_162	not classified	not classified	not classified	not classified	not classified	not classified	not classified sp. cat1567	not classified sp. cat1567
contig_43	not classified	not classified	not classified	not classified	not classified	not classified	not classified sp. cat2515	not classified sp. cat2515
contig_190	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctdke995
contig_1167	Bacteria	Bacteroidetes	not classified	not classified	not classified	not classified	Bacteroidetes sp. cat1158	Bacteroidetes sp. cat1158
contig_2431	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Prymnesiovirus	Prymnesiovirus_undefined_species	Phycodnaviridae sp. ctoJT577
contig_479	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Siphoviridae_undefined_genus	Siphoviridae_undefined_genus_undefined_species	Siphoviridae sp. ct8s9867
contig_667	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ct4EZ061
contig_373	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified sp. cat2462	not classified sp. cat2462
contig_2414	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Siphoviridae_undefined_genus	Siphoviridae_undefined_genus_undefined_species	Siphoviridae sp. ctzXb558
contig_1740	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus sp. AF31-8BH	Ruminococcus sp. AF31-8BH sp. cat1671
contig_1223	Bacteria	Firmicutes	not classified	not classified	not classified	not classified	Firmicutes sp. cat1210	Firmicutes sp. cat1210
contig_1931	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1185	dark_matter sp. cat1185
contig_201	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ct7TV118
contig_1102	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella sp. CAG:933	Veillonella sp. CAG:933 sp. cat1098
contig_1906	Bacteria	Firmicutes	Clostridia	Clostridiales	not classified	not classified	Clostridiales sp. cat1822	Clostridiales sp. cat1822
contig_1883	not classified	not classified	not classified	not classified	not classified	not classified	not classified sp. cat1804	not classified sp. cat1804
contig_2145	Bacteria	Firmicutes	Clostridia	Clostridiales	not classified	not classified	Clostridiales sp. cat2028	Clostridiales sp. cat2028
contig_342	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriales_undefined_family	Flavobacteriales_undefined_family_undefined_genus	Flavobacteriales bacterium	Flavobacteriales bacterium sp. cat2437
contig_1033	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides sp. CAG:409	Parabacteroides sp. CAG:409 sp. cat1034
contig_1614	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1115	dark_matter sp. cat1115
contig_374	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Fipvunavirus	Fipvunavirus_undefined_species	Podoviridae sp. ctapD761
contig_418	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella copri	Prevotella copri sp. cat2503
contig_405	Bacteria	Firmicutes	not classified	not classified	not classified	not classified	Firmicutes sp. cat2491	Firmicutes sp. cat2491
contig_2349	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	not classified	crAss-like viruses sp. cat2200	crAss-like viruses sp. cat2200
contig_1089	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens	Collinsella aerofaciens ATCC 25986 sp. cat1084
contig_2287	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1268	dark_matter sp. cat1268
contig_695	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified sp. cat2750	not classified sp. cat2750
contig_2334	Bacteria	Bacteria_undefined_phylum	Bacteria_undefined_phylum_undefined_class	Bacteria_undefined_phylum_undefined_class_undefined_order	Bacteria_undefined_phylum_undefined_class_undefined_order_undefined_family	Bacteria_undefined_phylum_undefined_class_undefined_order_undefined_family_undefined_genus	bacterium F082	bacterium F082 sp. cat2191
contig_2131	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1230	dark_matter sp. cat1230
contig_802	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ct5Fp206
contig_1933	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Efquatrovirus	Enterococcus virus SANTOR1	Siphoviridae sp. ctOCw032
contig_1585	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	uncultured Blautia sp.	uncultured Blautia sp. sp. cat1537
contig_2070	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1212	dark_matter sp. cat1212
contig_2305	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Empedobacter	Empedobacter brevis	Empedobacter brevis sp. cat2168
contig_2080	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	not classified	Zoogloeaceae sp. cat1978	Zoogloeaceae sp. cat1978
contig_2415	Bacteria	Firmicutes	Clostridia	Clostridiales	not classified	not classified	Clostridiales sp. cat2271	Clostridiales sp. cat2271
contig_239	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. cat2244	Prevotella sp. cat2244
contig_2401	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctIna544
contig_1018	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified sp. cat1019	not classified sp. cat1019
contig_1287	not classified	not classified	not classified	not classified	not classified	not classified	not classified sp. cat1268	not classified sp. cat1268
contig_1025	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Zoogloea	Zoogloea sp. 1C4	Zoogloea sp. 1C4 sp. cat1026
contig_614	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1324	dark_matter sp. cat1324
contig_1732	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1146	dark_matter sp. cat1146
contig_1817	Bacteria	Firmicutes	not classified	not classified	not classified	not classified	Firmicutes sp. cat1741	Firmicutes sp. cat1741
contig_2261	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus	Bacteroides ovatus ATCC 8483 sp. cat2130
contig_727	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. cteos125
contig_1267	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides xylanisolvens	Bacteroides xylanisolvens sp. cat1251
contig_1962	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. AF29-11	Bacteroides sp. AF29-11 sp. cat1873
contig_128	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriales_undefined_family	Flavobacteriales_undefined_family_undefined_genus	Flavobacteriales bacterium	Flavobacteriales bacterium sp. cat1262
contig_1510	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	Staphylococcus aureus sp. cat1471
contig_493	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified sp. cat2573	not classified sp. cat2573
contig_459	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified sp. cat2539	not classified sp. cat2539
contig_235	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Skunavirus	Skunavirus_undefined_species	Siphoviridae sp. ctmas487
contig_224	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Skunavirus	Skunavirus_undefined_species	Siphoviridae sp. ctrqS371
contig_2077	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1215	dark_matter sp. cat1215
contig_210	Bacteria	Bacteroidetes	not classified	not classified	not classified	not classified	Bacteroidetes sp. cat1995	Bacteroidetes sp. cat1995
contig_2038	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1206	dark_matter sp. cat1206
contig_2251	not classified	not classified	not classified	not classified	not classified	not classified	not classified sp. cat2120	not classified sp. cat2120
contig_1427	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1074	dark_matter sp. cat1074
contig_2066	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ct6cn180
contig_372	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. cat2461	Prevotella sp. cat2461
contig_334	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella copri	Prevotella copri sp. cat2428
contig_1945	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium sp. cat1857	Bifidobacterium sp. cat1857
contig_2110	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1223	dark_matter sp. cat1223
contig_1124	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Mediterraneibacter	[Ruminococcus] torques	[Ruminococcus] torques ATCC 27756 sp. cat1120
contig_2390	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	not classified	not classified	Bacteroidales sp. cat2245	Bacteroidales sp. cat2245
contig_1403	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus eutactus	Coprococcus eutactus ATCC 27759 sp. cat1378
contig_2034	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Podoviridae_undefined_genus	Podoviridae_undefined_genus_undefined_species	CrAss-like virus sp. ct7E1145
contig_1649	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides sp. CAG:409	Parabacteroides sp. CAG:409 sp. cat1590
contig_1542	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	not classified	not classified	Bacteroidales sp. cat1501	Bacteroidales sp. cat1501
contig_2448	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. cat2306	Prevotella sp. cat2306
contig_1424	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1073	dark_matter sp. cat1073
contig_332	not classified	not classified	not classified	not classified	not classified	not classified	not classified sp. cat2426	not classified sp. cat2426
contig_244	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	not classified	Prevotellaceae sp. cat2297	Prevotellaceae sp. cat2297
