"4.T.1"	"4.T.2"	"7.T.1"	"7.T.2"	"8.T.1"	"8.T.2"	"9.T.4"	"9.T.Flare"	"10.T.2"	"10.T.3"	"17.T.4"	"17.T.Flare"	"18.T.1"	"18.T.2"	"20.T.1"	"20.T.2"	"32.T.2"	"44.T.1"	"44.T.2"	"57.T.1"	"57.T.2"	"63.T.1"	"63.T.2"	"64.T.1"	"64.T.2"	"68.T.2"	"68.T.Flare"	"69.T.2"	"69.T.Flare"	"72.T.1"	"72.T.2"	"73.T.1"	"73.T.Flare"	"2.T.1"	"2.T.2"	"6.T.2"	"13.T.1"	"13.T.2"	"15.T.1"	"15.T.2"	"21.T.2"	"21.T.Flare"	"22.T.1"	"22.T.2"	"23.T.1"	"23.T.2"	"27.T.1"	"27.T.2"	"29.T.1"	"29.T.2"	"30.T.1"	"30.T.2"	"34.T.3"	"34.T.4"	"38.T.3"	"38.T.4"	"39.T.1"	"39.T.2"	"19.T.1"	"41.T.1"	"41.T.2"	"46.T.3"	"46.T.Flare"	"54.T.1"	"54.T.2"	"55.T.1"	"55.T.2"	"3.T.1"	"3.T.2"	"11.T.1"	"11.T.2"	"19.T.2"	"25.T.1"	"25.T.2"	"26.T.1"	"26.T.2"	"31.T.1"	"31.T.2"	"37.T.1"	"37.T.2"	"47.T.1"	"47.T.2"	"48.T.1"	"48.T.2"	"32.T.1"	"24.T.1"	"49.T.1"	"49.T.2"	"60.T.1"	"60.T.2"	"67.T.1"	"67.T.2"	"74.T.1"	"74.T.2"	"75.T.1"	"75.T.2"	"79.T.1"	"79.T.2"	"6.T.Flare"	"24.T.2"
"contig_1011"	1.0047055417882	14.6029605267215	0	0	0	0	1.01558578107736	4.78223531201681	2.01844275882284	0	0	17.2585339646889	0	0	0	0	0	0	0	11.4571237353789	1.03756177276592	0	5.17056716938544	4.20680412555751	23.4833974949341	0	0	1.09798137189357	0	10.1585391132759	271.151510557542	0	1.09380130977534	39.1455139298225	54.3701565710188	4.02933712748166	1.01216363817115	13.5602423737983	0	7.10475267269352	42.5916479326968	0.993865913180269	1.46934580888543	0	0.00956411840046471	0	5.20313704709696	13.2872991345111	7.53287400410508	43.9686043819667	2.02741915468429	0	13.251008310958	1.06798192849755	1.02409089122843	2.05222976498903	6.20870467317889	1.60425291097935	1.05942038105316	8.22669147476141	17.1027918351527	2.0305638253262	2.0060683851017	0.973300579630155	0	0.997085802573534	3.22002568722487	1.00226683572783	0	29.4632532733178	2.12861363151974	3.30975898092204	3.16838221702392	11.7848805828975	1.02170172705035	0	0	2.02676258358307	0	11.9585984733591	0	0	8.97217565396923	0	0	0	0	0	0	0	5.73283738724144	7.30844202770498	7.4745892339006	0	0	4.67811423147237	3.60586988497095	46.4165048247691	3.3049758823029	0
"contig_1012"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00483587779346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.5949211818709	77.6136217350899	0	0	0	0	0	0	0	0	0	0	0	1.00177232876792	0	0	6.9827199345676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.9932052588984	0	0	0	0	0	0	0	0
"contig_1013"	0	0	0	0	0	0	108.631083750499	92.0277371356686	16.1805438071831	9.03871780374206	0	0	17.8369478009933	0	0	1.02213365100881	0	0	1.00533572307896	0	0	0	0	1.00483587779346	5.07696766568683	405.161539085486	32.8162173185041	1.00387752723242	0	90.2306168158648	0	56.8326218218893	5110.99177956543	0	2.02604761923246	0	0	1.03142444869796	0	0	902.160942956409	0	0	0	0	7.0472028569316	0	0	0	0	0	0	2.0025295852327	0	1.01789710205975	6.12739118961236	0	0	0	0	0	0	0	0	0	0	1.47995086024455	0	4.00294370898489	0	0	136.903139727874	0	20.1411450267647	1.0030341792037	2.95379137085216	0	0	100.334398264425	0.996046995845002	0	0	0	0	0	2.00920278305623	0	0.999770159652463	1.01149890345227	2.99356786288639	3.99154269727658	0	1955.94861653874	845.059238105169	0	1.03845296612596	0	0	2.04992272489247	0
"contig_1014"	0	0	0	0	0	0	0	0	1.00375075404979	0	1.99329925453744	0	0	0	6233.63708476138	4.08832365799006	3.06971572130772	0	0	1.03819281932057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"contig_1015"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.8765593634507	88.525300583642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"contig_1016"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.01907566736176	0	0	0.997649676929913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200.010888038907
"contig_1017"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.1267045415562	62.639488599948	0	0	0	0	0	0	0	0	0	0	0	24.0441177779635	0	0	8.87765061768424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99971715588444	0	0	0	399.611749296153	0	0	0	0	0	0	0	0
"contig_1018"	0	429.512258041661	0	0	0	0	0	0	360.691195768316	130.367264860627	0	0	0	0	0	0	3.10760408596306	0	4.11361006820806	0	0	0	339.838050332364	101.453764998437	43.921795767852	0	3.00358999899328	0	0	0	0	0	89.7176488776526	0	0	36.6028495091405	0	0	32.505329844842	0	207.537023342425	0	65.996595849308	0	0	0	309.304941719279	1365.80387497158	0	0	0	0	0	2.19396681322049	175.635633784641	0	11.8208593823735	0	0	1.75382436224159	16.4476960640314	0	2.66473483149685	0	0	31.2070581854912	71.2071061210132	0	0	132.048203425135	54.594055562942	0	3.17947697229932	0	0	5.1709145805155	0	0	0	4.06020906132251	0	143.99998901316	91.9937807495741	14.9932132452618	0	0	0	0	0	0	0	0	0	0	5.0552151656395	0	7.40290603742478	0	134.397888514596	0
"contig_1019"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.126419715009	444.371098390196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"contig_102"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348.615188794826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.100586439762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00117425825825	0.898801902863203	0	0.967383211556432	0.962944928175614	5162.2483305467	1.95543613573513	0	1.87915523333564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104.739095618913
